Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN
102208__BLCK02XL,,,,WW,CMJO,Jacket Gilliam Black 2XL,EACH,CARHARTT,0,0,S,C,U,889192359307
102314__HUHE000L,,,,WW,CMUF,Sweatshirt Hooded Force Logo Huron Heather Large,EACH,CARHARTT,0,0,S,C,U,889192447158
102314__HUHE000M,,,,WW,CMUF,Sweatshirt Hooded Force Logo Huron Heather Medium,EACH,CARHARTT,0,0,S,C,U,889192447189
102314__HUHE000S,,,,WW,CMUF,Sweatshirt Hooded Force Logo Huron Heather Small,EACH,CARHARTT,0,0,S,C,U,889192447219
102482__BLCK000L,,,,WW,CLTZ,Force Utility Leggings Black Large,EACH,CARHARTT,1,1,S,A,U,192776387482
102482__BLCK000M,,,,WW,CLTZ,Force Utility Leggings Black Medium,EACH,CARHARTT,4,4,S,A,U,192776387512
102482__BLCK000S,,,,WW,CLTZ,Force Utility Leggings Black Small,EACH,CARHARTT,1,1,S,A,U,192776387543
102482__BLCK00XL,,,,WW,CLTZ,Force Utility Leggings Black XL,EACH,CARHARTT,0,0,S,A,U,192776387574
102482__BLCK00XS,,,,WW,CLTZ,Force Utility Leggings Black XS,EACH,CARHARTT,2,2,S,A,U,192776387604
102482__BLCK02XL,,,,WW,CLTZ,Force Utility Leggings Black 2XL,EACH,CARHARTT,0,0,S,A,U,192776387635
102791__APHE000L,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Asphalt Heather Large,EACH,CARHARTT,0,0,S,A,U,192776237510
102791__APHE000M,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Asphalt Heather Medium,EACH,CARHARTT,4,4,S,A,U,192776237541
102791__APHE000S,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Asphalt Heather Small,EACH,CARHARTT,1,1,S,A,U,192776237572
102791__APHE00XL,,,,WW,CLUZ,Sweatshirt Womens Clarksburg Asphalt Heather XL,EACH,CARHARTT,0,0,S,A,U,192776237602
