Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN,On Order,Avail. + On Order,PO In Transit,Total In Transit
798812,,,,WW,CLEZ,***NLA*** J Bobbin T-Shirt Layered Ladies SlimFit S1LTBW Black/White 14,EACH,DNC,0,0,S,O,,,0,0,0,0
798813,,,,WW,CLEZ,***NLA*** J Bobbin T-Shirt Layered Ladies SlimFit S1LTBW Black/White 16,EACH,DNC,0,0,S,O,,,0,0,0,0
798814,,,,WW,CLEZ,***NLA*** J Bobbin T-Shirt Layered Ladies SlimFit S1LTBW Black/White 18,EACH,DNC,0,0,S,O,,,0,0,0,0
798815,,,,WW,CLEZ,***NLA*** J Bobbin T-Shirt Layered Ladies SlimFit S1LTBW Black/White 20,EACH,DNC,0,0,S,O,,,0,0,0,0
798816,,,,WW,CLEZ,***NLA*** J Bobbin T-Shirt Boat Neck Ladies Slim Fit S1LBT2A Avocado 8,EACH,DNC,0,0,S,O,,,0,0,0,0
798817,,,,WW,CLEZ,***NLA*** J Bobbin T-Shirt Boat Neck Ladies Slim Fit S1LBT2A Avocado 10,EACH,DNC,0,0,S,O,,,0,0,0,0
798818,,,,WW,CLEZ,***NLA*** J Bobbin T-Shirt Boat Neck Ladies Slim Fit S1LBT2A Avocado 12,EACH,DNC,0,0,S,O,,,0,0,0,0
798819,,,,WW,CLEZ,***NLA*** J Bobbin T-Shirt Boat Neck Ladies Slim Fit S1LBT2A Avocado 14,EACH,DNC,0,0,S,O,,,0,0,0,0
79882,,,,WW,CMLC,Visitec Shorts Cargo 100% Cotton Drill Khaki WDCS-K 117,EACH,VISITEC,0,0,S,O,,,0,0,0,0
798820,,,,WW,CLEZ,***NLA*** J Bobbin T-Shirt Boat Neck Ladies Slim Fit S1LBT2A Avocado 16,EACH,DNC,0,0,S,O,,,0,0,0,0
798821,,,,WW,CLEZ,***NLA*** J Bobbin T-Shirt Boat Neck Ladies Slim Fit S1LBT2A Avocado 18,EACH,DNC,0,0,S,O,,,0,0,0,0
798822,,,,WW,CLEZ,***NLA*** J Bobbin T-Shirt Boat Neck Ladies Slim Fit S1LBT2A Avocado 20,EACH,DNC,0,0,S,O,,,0,0,0,0
79883,,,,WW,CMPS,Visitec Polo Pro Airwear S/Sleeve V1005 Yellow/Navy S,EACH,VISITEC,0,0,S,O,,,0,0,0,0
79883___,,,,WW,CMHZ,Classic Reversible Beanie,EACH,HELHAN,0,0,Z,A,U,,0,0,0,0
79883___BKYEOSFA,,,,WW,CMHZ,Classic Reversible Beanie Black Yellow One Size Fits All,EACH,HELHAN,704,694,S,A,U,7040056957838,10,694,0,5
79883___DGOROSFA,,,,WW,CMHZ,Classic Reversible Beanie Dark Grey Orange One Size Fits All,EACH,HELHAN,693,677,S,A,U,7040056957814,12,677,0,3
79883___NSTBOSFA,,,,WW,CMHZ,Classic Reversible Beanie Navy/Stone Blue One Size Fits All,EACH,HELHAN,0,0,S,N,U,7040058804246,0,0,0,0
79883___NYLBOSFA,,,,WW,CMHZ,Classic Reversible Beanie Navy Light Blue One Size Fits All,EACH,HELHAN,811,810,S,C,U,7040056957791,1,810,0,0
79884,,,,WW,CMPS,Visitec Polo Pro Airwear S/Sleeve V1005 Yellow/Navy M,EACH,VISITEC,0,0,S,A,,,0,0,0,0
79885,,,,WW,CMPS,Visitec Polo Pro Airwear S/Sleeve V1005 Yellow/Navy L,EACH,VISITEC,0,0,S,A,,,0,0,0,0
798852,,,,WW,CMTD,***NLA*** J Bobbin Trousers Cotton Drill 6WTT Khaki 30 (77),EACH,DNC,0,0,S,O,,,0,0,0,0
798853,,,,WW,CMTD,***NLA*** J Bobbin Trousers Cotton Drill 6WTT Khaki 32 (82),EACH,DNC,0,0,S,O,,,0,0,0,0
798854,,,,WW,CMTD,***NLA*** J Bobbin Trousers Cotton Drill 6WTT Khaki 34 (87),EACH,DNC,0,0,S,O,,,0,0,0,0
798855,,,,WW,CMTD,***NLA*** J Bobbin Trousers Cotton Drill 6WTT Khaki 36 (92),EACH,DNC,0,0,S,O,,,0,0,0,0
798856,,,,WW,CMTD,***NLA*** J Bobbin Trousers Cotton Drill 6WTT Khaki 38 (97),EACH,DNC,0,0,S,O,,,0,0,0,0
798857,,,,WW,CMTD,***NLA*** J Bobbin Trousers Cotton Drill 6WTT Khaki 40 (102),EACH,DNC,0,0,S,O,,,0,0,0,0
