Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN,On Order,Avail. + On Order,PO In Transit,Total In Transit
15639,,,,HW,HETG,Audioxtra Midland 12/24V Anc Compact Uhf PRO911,EACH,AUDIOXTRA,0,0,S,A,,9321886016277,0,0,0,0
15640,,,,HW,HETG,Audioxtra Midland 12/24V Uhf+ Ant & Bkt PRO911KIT,EACH,AUDIOXTRA,0,0,S,A,,9321886016284,0,0,0,0
160058,,,,HW,HTTD,Budget Silver Duct Tape 48mmx30m R418,EACH,BUDGETPACK,0,0,S,O,,,0,0,0,0
160059,,,,HW,HTTP,Budget Transparent Tape 5370-48TR,EACH,BUDGETPACK,0,0,S,O,,,0,0,0,0
160068,,,,HW,HTTO,Budget Tape Polyester Double sided 10mm B789-10mm,EACH,BUDGETPACK,0,0,S,O,,,0,0,0,0
160081,,,,HW,HTTO,Budget Tape Double Sided 12mmx50m DS-41,EACH,RSEA,0,0,S,A,,,0,0,0,0
161005,,,,HW,HTTP,Pakaflex CUSTOM PRINT Tape Pack DECOMMISSIONED Red/ Wht 48mmx66m PTRW48X66DECOM,EACH,PAKAFLEX,11,11,S,A,,,0,11,0,0
161006,,,,HW,HTTP,Pakaflex Print Plate Set Up Fee PRINT PLATE SET UP FEE,EACH,PAKAFLEX,0,0,L,,,,0,0,0,0
161012,,,,HW,HTTD,Budget Packaging Waterproof Cloth Tape B240,EACH,BUDGETPACK,0,0,S,A,,,0,0,0,0
165050,,,,HW,HTTD,Bunzl Tape Duct Silver/Grey TS4258S/48R 48mmx40m,EACH,BUNNINGS,0,0,S,O,,,0,0,0,0
165051,,,,HW,HTTE,Bunzl Tape Electrical Black TS60805B/19 25mmx20m,EACH,BUNNINGS,0,0,S,O,,,0,0,0,0
165052,,,,HW,HTTP,Bunzl Tape Packing Brown COS2/1032 48mm x 75m,EACH,BUNNINGS,0,0,S,O,,,0,0,0,0
165053,,,,HW,HTTP,Bunzl Tape Packing Clear TS4263HC/506 48mm x 75m,EACH,BUNNINGS,0,0,S,O,,,0,0,0,0
180166,,,,HW,HEKA,FIRWOR Antitamper tag 0,EACH,FIRFIR,0,0,S,A,,,0,0,0,0
196501,,,,HW,HETG,Pelican Products 1965 MityLife Pen Flashlight Black 1965B,EACH,PELICAN,0,0,S,A,,,0,0,0,0
196502,,,,HW,HETG,Pelican Products 1965 MityLife Pen Flashlight Yellow 1965Y,EACH,PELICAN,0,0,S,A,,,0,0,0,0
196503,,,,HW,HETG,Pelican Products Compact Led Flashlight YELLOW 160 LUMENS,EACH,PELICAN,63,53,S,A,,,7,53,0,0
19900582,,,,HW,HEB3,***NLA*** Energizer e2 Advanced AAA 4 pk,,RSEA,0,0,S,O,,,0,0,0,0
19900583,,,,HW,HEB2,***NLA*** Energizer e2 Advanced AA 4 pk,,RSEA,0,0,S,O,,,0,0,0,0
19900584,,,,HW,HEB2,***NLA*** Energizer e2 Advanced AA 2 pk,,RSEA,0,0,S,O,,,0,0,0,0
19900585,,,,HW,HEB9,***NLA*** Energizer e2 Advanced 9v 1 pk,,RSEA,0,0,S,O,,,0,0,0,0
19901005,,,,HW,HETG,***NLA*** Pelican Versabrite II Black,,RSEA,0,0,S,O,,,0,0,0,0
19903885,,,,HW,HTHO,***NLA*** Lynn River Tool Bag Canvas 280x380mm Green 32500,,RSEA,0,0,S,O,,,0,0,0,0
2002500,,,,HW,HETR,***NLA*** Torch (OS) Eclipse Torch Wind Up with Cell Phone Adaptor ZF3803LED,EACH,ECLIPSE,0,0,S,I,,9336179006613,0,0,0,0
2002501,,,,HW,HEHL,***NLA*** Head Lamp (OS) Head Lamp 2 White & 1 Red LED ZF6505,EACH,ECLIPSE,0,0,S,I,,9336179006620,0,0,0,0
2002502,,,,HW,HEHL,***NLA*** Head Lamp (OS) Head Lamp 6 LED & 1 Krypton ZF6502T-1,EACH,ECLIPSE,0,0,S,I,,9336179006637,0,0,0,0
2002503,,,,HW,HETG,***NLA*** Torch (OS) Eclipse Torch 30 Wht LEDs 3D Anodised Aluminium ZF103LED,EACH,ECLIPSE,0,0,S,I,,9336179006644,0,0,0,0
