Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN
256042,,,,WW,CMIL,***NLA*** Bisley Polo Shirt Hi Vis Long Sleeve Yellow Green 6XL BK6354K,EACH,BISLEY,0,0,S,O,,9328894813393
256047,,,,WW,CMLD,***NLA*** Bisley Utility Shorts Khaki BSHU1007 77R,EACH,BISLEY,0,0,S,O,,9328894763131
256048,,,,WW,CMLD,***NLA*** Bisley Utility Shorts Khaki BSHU1007 82R,EACH,BISLEY,0,0,S,O,,9328894763148
256049,,,,WW,CMLD,***NLA*** Bisley Utility Shorts Khaki BSHU1007 87R,EACH,BISLEY,0,0,S,O,,9328894763155
256050,,,,WW,CMLD,***NLA*** Bisley Utility Shorts Khaki BSHU1007 92R,EACH,BISLEY,0,0,S,O,,9328894763162
256051,,,,WW,CMLD,***NLA*** Bisley Utility Shorts Khaki BSHU1007 97R,EACH,BISLEY,0,0,S,O,,9328894763179
256052,,,,WW,CMLD,***NLA*** Bisley Utility Shorts Khaki BSHU1007 102R,EACH,BISLEY,0,0,S,O,,9328894763186
256053,,,,WW,CMLD,***NLA*** Bisley Utility Shorts Khaki BSHU1007 107R,EACH,BISLEY,1,1,S,O,,9328894763193
256054,,,,WW,CMLD,***NLA*** Bisley Utility Shorts Khaki BSHU1007 112R,EACH,BISLEY,0,0,S,O,,9328894763209
256055,,,,WW,CLSS,***NLA*** Bisley Shirt Ladies S/S Weave Blue BL1410 12,EACH,BISLEY,0,0,S,O,,9313155637429
256056,,,,WW,CLSS,***NLA*** Bisley Shirt Ladies S/S Weave Blue BL1410 14,EACH,BISLEY,0,0,S,O,,9313155637436
256057,,,,WW,CLSS,***NLA*** Bisley Shirt Ladies S/S Weave Blue BL1410 16,EACH,BISLEY,0,0,S,O,,9313155637443
256058,,,,WW,CLSS,***NLA*** Bisley Shirt Ladies S/S Weave Blue BL1410 18,EACH,BISLEY,0,0,S,O,,9313155637450
256059,,,,WW,CMPS,Bisley **NLA** Polo Shirt Navy BK1088 L,EACH,,0,0,X,O,,259870
256060,,,,WW,CMPS,***NLA*** Bisley Polo Shirt S/S Navy BK1288 S,EACH,BISLEY,0,0,S,O,,9328894549759
256061,,,,WW,CMPS,***NLA*** Bisley Polo Shirt S/S Navy BK1288 M,EACH,BISLEY,0,0,S,O,,9328894549773
256062,,,,WW,CMPS,***NLA*** Bisley Polo Shirt S/S Navy BK1288 L,EACH,BISLEY,0,0,S,O,,9328894549780
256063,,,,WW,CMPS,***NLA*** Bisley Polo Shirt S/S Navy BK1288 XL,EACH,BISLEY,0,0,S,O,,9328894549797
256064,,,,WW,CMPS,***NLA*** Bisley Polo Shirt S/S Navy BK1288 2XL,EACH,BISLEY,0,0,S,O,,9328894549803
256065,,,,WW,CMPS,***NLA*** Bisley Polo Shirt S/S Navy BK1288 3XL,EACH,BISLEY,0,0,S,O,,9328894549810
256077,,,,WW,CMLO,***NLA*** Bisley Shorts Truckies Navy BSHJ1007 77R,EACH,BISLEY,0,0,S,O,,9328894777824
256078,,,,WW,CMLO,***NLA*** Bisley Shorts Truckies Navy BSHJ1007 82R,EACH,BISLEY,0,0,S,O,,9328894777831
256079,,,,WW,CMLO,***NLA*** Bisley Shorts Truckies Navy BSHJ1007 87R,EACH,BISLEY,0,0,S,O,,9328894777848
256080,,,,WW,CMLO,***NLA*** Bisley Shorts Truckies Navy BSHJ1007 92R,EACH,BISLEY,0,0,S,O,,9328894777855
256081,,,,WW,CMLO,***NLA*** Bisley Shorts Truckies Navy BSHJ1007 97R,EACH,BISLEY,0,0,S,O,,9328894777862
256082,,,,WW,CMLO,***NLA*** Bisley Shorts Truckies Navy BSHJ1007 102R,EACH,BISLEY,0,0,S,O,,9328894777879
256083,,,,WW,CMLO,***NLA*** Bisley Shorts Truckies Navy BSHJ1007 107R,EACH,BISLEY,0,0,S,O,,9328894777886
256084,,,,WW,CMLO,***NLA*** Bisley Shorts Truckies Navy BSHJ1007 112R,EACH,BISLEY,0,0,S,O,,9328894777893
256085,,,,WW,CMPS,***NLA*** Bisley Polo Shirt Birdseye Pique Taupe Fawn CM2277 S,EACH,BISLEY,0,0,S,O,,9328894262948
256086,,,,WW,CMPS,***NLA*** Bisley Polo Shirt Birdseye Pique Taupe Fawn CM2277 M,EACH,BISLEY,0,0,S,O,,9328894262955
