Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN
HF3921__NYST0610,,,,WW,CMAS,Sock Crew Branded x3 Pack Navy/Sea Spray/Tan Sizes 6 to 10,EACH,HMRFLD,0,0,S,I,U,9336179209212
HF3921__NYST1114,,,,WW,CMAS,Sock Crew Branded x3 Pack Navy/Sea Spray/Tan Sizes 11 to 14,EACH,HMRFLD,0,0,S,I,U,9336179209236
HF3921__SMBM0610,,,,WW,CMAS,Sock Crew Branded x3 Pack Stone Marl/ Black Marl Sizes 6 to 10,EACH,HMRFLD,0,0,S,I,U,
HF3921__SMBM1114,,,,WW,CMAS,Sock Crew Branded x3 Pack Stone Marl/ Black Marl Sizes 11 to 14,EACH,HMRFLD,0,0,S,I,U,
HF3921__SRMC0610,,,,WW,CMAS,Sock Crew Branded x3 Pack Stone Green Marl/ Cold Sizes 6 to 10,EACH,HMRFLD,0,0,S,I,U,
HF3921__SRMC1114,,,,WW,CMAS,Sock Crew Branded x3 Pack Stone Green Marl/ Cold Sizes 11 to 14,EACH,HMRFLD,0,0,S,I,U,
HF3922__,,,,WW,CMAS,Sneaker Socks Workwear,EACH,HMRFLD,0,0,Z,A,U,
HF3922__BLCK0610,,,,WW,CMAS,Sneaker Socks Workwear Black Sizes 6 to 10,EACH,HMRFLD,1729,1689,S,A,U,9336179181013
HF3922__BLCK1114,,,,WW,CMAS,Sneaker Socks Workwear Black Sizes 11 to 14,EACH,HMRFLD,1196,1195,S,A,U,9336179181020
HF3922__WHTE0610,,,,WW,CMAS,Sneaker Socks Workwear White Sizes 6 to 10,EACH,HMRFLD,1774,1772,S,C,U,9336179181037
HF3922__WHTE1114,,,,WW,CMAS,Sneaker Socks Workwear White Sizes 11 to 14,EACH,HMRFLD,1403,1402,S,C,U,9336179181044
HF3923__,,,,WW,CMAS,Crew Sock Two Tone 2 Pack,EACH,HMRFLD,0,0,Z,A,U,
HF3923__GYMA0610,,,,WW,CMAS,Crew Sock Two Tone 2 Pack Grey Marle Sizes 6 to 10,EACH,HMRFLD,1851,1786,S,A,U,9336179195119
HF3923__GYMA1114,,,,WW,CMAS,Crew Sock Two Tone 2 Pack Grey Marle Sizes 11 to 14,EACH,HMRFLD,1418,1408,S,A,U,9336179195126
HF3923__NAVY0610,,,,WW,CMAS,Crew Sock Two Tone 2 Pack Navy Sizes 6 to 10,EACH,HMRFLD,2284,2224,S,A,U,9336179195157
HF3923__NAVY1114,,,,WW,CMAS,Crew Sock Two Tone 2 Pack Navy Sizes 11 to 14,EACH,HMRFLD,1173,1172,S,A,U,9336179195164
HF3923__SEGR0610,,,,WW,CMAS,Crew Sock Two Tone 2 Pack Stone Green Sizes 6 to 10,EACH,HMRFLD,1816,1816,S,A,U,9336179195195
HF3923__SEGR1114,,,,WW,CMAS,Crew Sock Two Tone 2 Pack Stone Green Sizes 11 to 14,EACH,HMRFLD,1308,1306,S,A,U,9336179195218
HF3924__,,,,WW,CMAS,Crew Sock Everyday 4 Pack,EACH,HMRFLD,0,0,Z,A,U,
HF3924__BLCK0610,,,,WW,CMAS,Crew Sock Everyday 4 Pack Black Sizes 6 to 10,EACH,HMRFLD,2034,2009,S,A,U,9336179195232
HF3924__BLCK1114,,,,WW,CMAS,Crew Sock Everyday 4 Pack Black Sizes 11 to 14,EACH,HMRFLD,1119,1113,S,A,U,9336179195256
HF3924__NAVY0610,,,,WW,CMAS,Crew Sock Everyday 4 Pack Navy Sizes 6 to 10,EACH,HMRFLD,2086,2061,S,A,U,9336179195270
HF3924__NAVY1114,,,,WW,CMAS,Crew Sock Everyday 4 Pack Navy Sizes 11 to 14,EACH,HMRFLD,1196,1196,S,A,U,9336179195294
HF3924__WHTE0610,,,,WW,CMAS,Crew Sock Everyday 4 Pack White Sizes 6 to 10,EACH,HMRFLD,0,0,S,I,U,9336179195317
HF3924__WHTE1114,,,,WW,CMAS,Crew Sock Everyday 4 Pack White Sizes 11 to 14,EACH,HMRFLD,0,0,S,I,U,9336179195331
HF3925__,,,,WW,CMAS,Crew Sock Xtra Thick 2 Pack,EACH,HMRFLD,0,0,Z,A,U,
HF3925__BKML0610,,,,WW,CMAS,Crew Sock Xtra Thick 2 Pack Black Marle Sizes 6 to 10,EACH,HMRFLD,2096,2007,S,A,U,9336179195355
HF3925__BKML1114,,,,WW,CMAS,Crew Sock Xtra Thick 2 Pack Black Marle Sizes 11 to 14,EACH,HMRFLD,1309,1277,S,A,U,9336179195379
HF3925__NYMA0610,,,,WW,CMAS,Crew Sock Xtra Thick 2 Pack Navy Marle Sizes 6 to 10,EACH,HMRFLD,2016,1965,S,A,U,9336179195393
HF3925__NYMA1114,,,,WW,CMAS,Crew Sock Xtra Thick 2 Pack Navy Marle Sizes 11 to 14,EACH,HMRFLD,1346,1346,S,A,U,9336179195416
HF3950__,,,,WW,CMAB,Leather Workwear Belt,EACH,HMRFLD,0,0,Z,A,U,
HF3950__BLCK000L,,,,WW,CMAB,Leather Workwear Belt Black Large,EACH,HMRFLD,873,865,S,A,U,9336179181334
HF3950__BLCK000M,,,,WW,CMAB,Leather Workwear Belt Black Medium,EACH,HMRFLD,678,671,S,A,U,9336179181341
HF3950__BLCK000S,,,,WW,CMAB,Leather Workwear Belt Black Small,EACH,HMRFLD,291,289,S,A,U,9336179181358
HF3950__BLCK00XL,,,,WW,CMAB,Leather Workwear Belt Black XL,EACH,HMRFLD,539,530,S,A,U,9336179181365
HF3950__BLCK02XL,,,,WW,CMAB,Leather Workwear Belt Black 2XL,EACH,HMRFLD,238,237,S,A,U,9336179181372
HF3951__,,,,WW,CMAB,Work Webbed Belt,EACH,HMRFLD,0,0,Z,A,U,
HF3951__BLCK000L,,,,WW,CMAB,Work Webbed Belt Black Large,EACH,HMRFLD,950,941,S,A,U,9336179181433
HF3951__BLCK000M,,,,WW,CMAB,Work Webbed Belt Black Medium,EACH,HMRFLD,1032,1020,S,A,U,9336179181440
HF3951__BLCK000S,,,,WW,CMAB,Work Webbed Belt Black Small,EACH,HMRFLD,264,259,S,A,U,9336179181457
HF3951__BLCK00XL,,,,WW,CMAB,Work Webbed Belt Black XL,EACH,HMRFLD,529,521,S,A,U,9336179181464
HF3951__BLCK02XL,,,,WW,CMAB,Work Webbed Belt Black 2XL,EACH,HMRFLD,410,403,S,A,U,9336179181471
HF3951__MIOL000L,,,,WW,CMAB,Work Webbed Belt Military Olive Large,EACH,HMRFLD,374,373,S,A,U,9336179181488
HF3951__MIOL000M,,,,WW,CMAB,Work Webbed Belt Military Olive Medium,EACH,HMRFLD,658,652,S,A,U,9336179181495
HF3951__MIOL000S,,,,WW,CMAB,Work Webbed Belt Military Olive Small,EACH,HMRFLD,137,137,S,A,U,9336179181501
HF3951__MIOL00XL,,,,WW,CMAB,Work Webbed Belt Military Olive XL,EACH,HMRFLD,285,284,S,A,U,9336179181518
HF3951__MIOL02XL,,,,WW,CMAB,Work Webbed Belt Military Olive 2XL,EACH,HMRFLD,141,141,S,A,U,9336179181525
HF6000__,,,,PP,PRMH,Half Face Respirator 6000,EACH,3MAUST,0,0,Z,A,U,
HF6000__HALF000L,,,,PP,PRMH,Half Face Respirator 6000 Respirator 1/2 Face Mask Grey Large 3M XA007702674 - 41012,EACH,3MAUST,658,643,S,A,U,41895949531
HF6000__HALF000M,,,,PP,PRMH,Half Face Respirator 6000 Respirator 1/2 Face Mask Grey Medium 3M XA007702658 - 41011,EACH,3MAUST,260,247,S,A,U,41895949494
HF6000__HALF000S,,,,PP,PRMH,Half Face Respirator 6000 Respirator 1/2 Face Mask Grey Small 3M XA007702633 - 41013,EACH,3MAUST,205,199,S,A,U,
HF7500__,,,,PP,PRMH,Half Face Respirator 7500,EACH,3MAUST,0,0,Z,A,U,
HF7500__HALF000L,,,,PP,PRMH,Half Face Respirator 7500 Respirator 1/2 Mask SiliconeDD Large 3M XA007709349 - 41016,EACH,3MAUST,197,197,S,A,U,
HF7500__HALF000M,,,,PP,PRMH,Half Face Respirator 7500 Respirator 1/2 Mask SiliconeDD Medium 3M XA007709331 - 41015,EACH,3MAUST,207,206,S,A,U,51131528598
HF7500__HALF000S,,,,PP,PRMH,Half Face Respirator 7500 Respirator 1/2 Mask SiliconeDD Small 3M XA007709323 - 41016,EACH,3MAUST,51,51,S,A,U,
HFM430__,,,,PP,PRMH,Respirator Advantage 200LS,EACH,MSA,0,0,Z,T,U,
HFM430__HALF000L,,,,PP,PRMH,Respirator Advantage 200LS Half Face Large,EACH,MSA,0,0,S,A,U,
HFM430__HALF000M,,,,PP,PRMH,Respirator Advantage 200LS Half Face Medium,EACH,MSA,0,0,S,A,U,
HFM430__HALF000S,,,,PP,PRMH,Respirator Advantage 200LS Half Face Small,EACH,MSA,0,0,S,A,U,
HFP01B__,,,,WW,CMTO,Pants Fleece,EACH,HAWKE,0,0,Z,T,U,
